donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ai-setup,.gitignore,7375379025f0e50b34dbb661600059c9dc657f9f952fc5f850b6c9b1c3c4f46c,169,none,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.husky/pre-commit,26fb8ad50b9cd3d11c67d1e32f4e1f7712ad1c3f391af74ea20d7c0d067685d5,658,none,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.prettierignore,305916366d173c1eafd33a409f920d0712f0d2da83af583dc54c451bec665104,73,none,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,.prettierrc,d483e8f6df697a2c5040662766a5b1368237f628f3b0d5b5bf0dcd36d4382726,106,none,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,AGENTS.md,ee8e2f2b31eeb67d6d6a502a7b1fff08c439ea46637c57c004e9752f69cae842,3722,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT;CAL-MULTI,
ai-setup,CHANGELOG.md,f424ffb8951224418a66c3f62ce52b1b438ac33b28d033b32e0365082a83a3f1,18500,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,CLAUDE.md,48f804821d05995b409ef09cd56b72c06f12f1c1eae660ceda14adec37e2dc43,6914,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT;CAL-MULTI,
ai-setup,CODE_OF_CONDUCT.md,7417c000724a9112a0f20edfd6ffff8f95b1eb7799e56ba0140b2a46b3dc15aa,2399,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,CONTRIBUTING.md,7723d583093d2e05a9b64336d84c77bd0c8fd0970c47d883c173668ce244ba6d,2590,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,LICENSE,4f4aaf4e8dfc021c73b2cad431387ae96d3af475ba77c87c17fdf88021d8bcfb,1067,none,unknown,governance,authoritative-or-review-required,CAL-ROOT,
ai-setup,README.md,65f547e53cfe2a3b388ad5161b8cc7bf314b0df1c20c8f62a811dd3266955858,18898,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,SECURITY.md,4d779f6017d3647f1ebbae5bfe8abf61c35d4ad655f42327adff184de12e83dc,1394,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,TODOS.md,88577213fd192c1e0bc9612337aa0d0f271c92b8f7e6270452117d6f98b7399f,6294,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
